Timestamp,Quantity_MW
2025010100,-0.0001
2025010100,-0.0001
2025010100,-0.0001
2025010100,-0.0001
2025010101,-0.0001
2025010101,-0.0001
2025010101,-0.0001
2025010101,-0.0001
2025010102,-0.0001
2025010102,-0.0001
2025010102,-0.0001
2025010102,-0.0001
2025010103,-0.0001
2025010103,-0.0001
2025010103,-0.0001
2025010103,-0.0001
2025010104,-0.0001
2025010104,-0.0001
2025010104,-0.0001
2025010104,-0.0001
2025010105,-0.0001
2025010105,-0.0001
2025010105,-0.0001
2025010105,-0.0001
2025010106,-0.0001
2025010106,-0.0001
2025010106,-0.0001
2025010106,-0.0001
2025010107,-0.0001
2025010107,-0.0001
2025010107,-0.0001
2025010107,-0.0001
2025010108,-0.0001
2025010108,-0.0001
2025010108,-0.0001
2025010108,-0.0001
2025010109,-0.0001
2025010109,-0.0001
2025010109,-0.0001
2025010109,-0.0001
2025010110,-0.0001
2025010110,-0.0001
2025010110,-0.0001
2025010110,-0.0001
2025010111,-0.0001
2025010111,-0.0001
2025010111,-0.0001
2025010111,-0.0001
2025010112,-0.0001
2025010112,-0.0001
2025010112,-0.0001
2025010112,-0.0001
2025010113,-0.0001
2025010113,-0.0001
2025010113,-0.0001
2025010113,-0.0001
2025010114,-0.0001
2025010114,-0.0001
2025010114,-0.0001
2025010114,-0.0001
2025010115,-0.0001
2025010115,-0.0001
2025010115,-0.0001
2025010115,-0.0001
2025010116,-0.0001
2025010116,-0.0001
2025010116,-0.0001
2025010116,-0.0001
2025010117,-0.0001
2025010117,-0.0001
2025010117,-0.0001
2025010117,-0.0001
2025010118,-0.0001
2025010118,-0.0001
2025010118,-0.0001
2025010118,-0.0001
2025010119,-0.0001
2025010119,-0.0001
2025010119,-0.0001
2025010119,-0.0001
2025010120,-0.0001
2025010120,-0.0001
2025010120,-0.0001
2025010120,-0.0001
2025010121,-0.0001
2025010121,-0.0001
2025010121,-0.0001
2025010121,-0.0001
2025010122,-0.0001
2025010122,-0.0001
2025010122,-0.0001
2025010122,-0.0001
2025010123,-0.0001
2025010123,-0.0001
2025010123,-0.0001
2025010123,-0.0001
2025010200,-0.0001
2025010200,-0.0001
2025010200,-0.0001
2025010200,-0.0001
2025010201,-0.0001
2025010201,-0.0001
2025010201,-0.0001
2025010201,-0.0001
2025010202,-0.0001
2025010202,-0.0001
2025010202,-0.0001
2025010202,-0.0001
2025010203,-0.0001
2025010203,-0.0001
2025010203,-0.0001
2025010203,-0.0001
2025010204,-0.0001
2025010204,-0.0001
2025010204,-0.0001
2025010204,-0.0001
2025010205,-0.0001
2025010205,-0.0001
2025010205,-0.0001
2025010205,-0.0001
2025010206,-0.0001
2025010206,-0.0001
2025010206,-0.0001
2025010206,-0.0001
2025010207,-0.0001
2025010207,-0.0001
2025010207,-0.0001
2025010207,-0.0001
2025010208,-0.0001
2025010208,-0.0001
2025010208,-0.0001
2025010208,-0.0001
2025010209,-0.0001
2025010209,-0.0001
2025010209,-0.0001
2025010209,-0.0001
2025010210,-0.0001
2025010210,-0.0001
2025010210,-0.0001
2025010210,-0.0001
2025010211,-0.0001
2025010211,-0.0001
2025010211,-0.0001
2025010211,-0.0001
2025010212,-0.0001
2025010212,-0.0001
2025010212,-0.0001
2025010212,-0.0001
2025010213,-0.0001
2025010213,-0.0001
2025010213,-0.0001
2025010213,-0.0001
2025010214,-0.0001
2025010214,-0.0001
2025010214,-0.0001
2025010214,-0.0001
2025010215,-0.0001
2025010215,-0.0001
2025010215,-0.0001
2025010215,-0.0001
2025010216,-0.0001
2025010216,-0.0001
2025010216,-0.0001
2025010216,-0.0001
2025010217,-0.0001
2025010217,-0.0001
2025010217,-0.0001
2025010217,-0.0001
