Timestamp,Quantity_MW
2025010100,183.0
2025010100,183.0
2025010100,183.0
2025010100,183.0
2025010101,174.0
2025010101,174.0
2025010101,174.0
2025010101,174.0
2025010102,150.0
2025010102,150.0
2025010102,150.0
2025010102,150.0
2025010103,159.0
2025010103,159.0
2025010103,159.0
2025010103,159.0
2025010104,143.0
2025010104,143.0
2025010104,143.0
2025010104,143.0
2025010105,101.0
2025010105,101.0
2025010105,101.0
2025010105,101.0
2025010106,143.0
2025010106,143.0
2025010106,143.0
2025010106,143.0
2025010107,142.0
2025010107,142.0
2025010107,142.0
2025010107,142.0
2025010108,149.0
2025010108,149.0
2025010108,149.0
2025010108,149.0
2025010109,116.0
2025010109,116.0
2025010109,116.0
2025010109,116.0
2025010110,154.0
2025010110,154.0
2025010110,154.0
2025010110,154.0
2025010111,161.0
2025010111,161.0
2025010111,161.0
2025010111,161.0
2025010112,167.0
2025010112,167.0
2025010112,167.0
2025010112,167.0
2025010113,173.0
2025010113,173.0
2025010113,173.0
2025010113,173.0
2025010114,172.0
2025010114,172.0
2025010114,172.0
2025010114,172.0
2025010115,180.0
2025010115,180.0
2025010115,180.0
2025010115,180.0
2025010116,170.0
2025010116,170.0
2025010116,170.0
2025010116,170.0
2025010117,166.0
2025010117,166.0
2025010117,166.0
2025010117,166.0
2025010118,183.0
2025010118,183.0
2025010118,183.0
2025010118,183.0
2025010119,185.0
2025010119,185.0
2025010119,185.0
2025010119,185.0
2025010120,185.0
2025010120,185.0
2025010120,185.0
2025010120,185.0
2025010121,175.0
2025010121,175.0
2025010121,175.0
2025010121,175.0
2025010122,181.0
2025010122,181.0
2025010122,181.0
2025010122,181.0
2025010123,145.0
2025010123,145.0
2025010123,145.0
2025010123,145.0
2025010200,125.0
2025010200,125.0
2025010200,125.0
2025010200,125.0
2025010201,147.0
2025010201,147.0
2025010201,147.0
2025010201,147.0
2025010202,157.0
2025010202,157.0
2025010202,157.0
2025010202,157.0
2025010203,176.0
2025010203,176.0
2025010203,176.0
2025010203,176.0
2025010204,135.0
2025010204,135.0
2025010204,135.0
2025010204,135.0
2025010205,154.0
2025010205,154.0
2025010205,154.0
2025010205,154.0
2025010206,156.0
2025010206,156.0
2025010206,156.0
2025010206,156.0
2025010207,94.0
2025010207,94.0
2025010207,94.0
2025010207,94.0
2025010208,81.0
2025010208,81.0
2025010208,81.0
2025010208,81.0
2025010209,80.0
2025010209,80.0
2025010209,80.0
2025010209,80.0
2025010210,131.0
2025010210,131.0
2025010210,131.0
2025010210,131.0
2025010211,116.0
2025010211,116.0
2025010211,116.0
2025010211,116.0
2025010212,130.0
2025010212,130.0
2025010212,130.0
2025010212,130.0
2025010213,185.0
2025010213,185.0
2025010213,185.0
2025010213,185.0
2025010214,171.0
2025010214,171.0
2025010214,171.0
2025010214,171.0
2025010215,158.0
2025010215,158.0
2025010215,158.0
2025010215,158.0
2025010216,178.0
2025010216,178.0
2025010216,178.0
2025010216,178.0
2025010217,177.0
2025010217,177.0
2025010217,177.0
2025010217,177.0
2025010218,183.0
2025010218,183.0
2025010218,183.0
2025010218,183.0
2025010219,139.0
2025010219,139.0
2025010219,139.0
2025010219,139.0
2025010220,136.0
2025010220,136.0
2025010220,136.0
2025010220,136.0
2025010221,121.0
2025010221,121.0
2025010221,121.0
2025010221,121.0
2025010222,150.0
2025010222,150.0
2025010222,150.0
2025010222,150.0
2025010223,170.0
2025010223,170.0
2025010223,170.0
2025010223,170.0
2025010300,141.0
2025010300,141.0
2025010300,141.0
2025010300,141.0
2025010301,131.0
2025010301,131.0
2025010301,131.0
2025010301,131.0
2025010302,133.0
2025010302,133.0
2025010302,133.0
2025010302,133.0
2025010303,168.0
2025010303,168.0
2025010303,168.0
2025010303,168.0
2025010304,177.0
2025010304,177.0
2025010304,177.0
2025010304,177.0
2025010305,150.0
2025010305,150.0
2025010305,150.0
2025010305,150.0
2025010306,175.0
2025010306,175.0
2025010306,175.0
2025010306,175.0
2025010307,183.0
2025010307,183.0
2025010307,183.0
2025010307,183.0
2025010308,185.0
2025010308,185.0
2025010308,185.0
2025010308,185.0
2025010309,179.0
2025010309,179.0
2025010309,179.0
2025010309,179.0
2025010310,185.0
2025010310,185.0
2025010310,185.0
2025010310,185.0
2025010311,185.0
2025010311,185.0
2025010311,185.0
2025010311,185.0
2025010312,180.0
2025010312,180.0
2025010312,180.0
2025010312,180.0
2025010313,160.0
2025010313,160.0
2025010313,160.0
2025010313,160.0
2025010314,153.0
2025010314,153.0
2025010314,153.0
2025010314,153.0
2025010315,169.0
2025010315,169.0
2025010315,169.0
2025010315,169.0
2025010316,180.0
2025010316,180.0
2025010316,180.0
2025010316,180.0
2025010317,185.0
2025010317,185.0
2025010317,185.0
2025010317,185.0
2025010318,185.0
2025010318,185.0
2025010318,185.0
2025010318,185.0
2025010319,185.0
2025010319,185.0
2025010319,185.0
2025010319,185.0
2025010320,172.0
2025010320,172.0
2025010320,172.0
2025010320,172.0
2025010321,138.0
2025010321,138.0
2025010321,138.0
2025010321,138.0
2025010322,92.0
2025010322,92.0
2025010322,92.0
2025010322,92.0
2025010323,93.0
2025010323,93.0
2025010323,93.0
2025010323,93.0
2025010400,48.0
2025010400,48.0
2025010400,48.0
2025010400,48.0
2025010401,47.0
2025010401,47.0
2025010401,47.0
2025010401,47.0
2025010402,65.0
2025010402,65.0
2025010402,65.0
2025010402,65.0
2025010403,24.0
2025010403,24.0
2025010403,24.0
2025010403,24.0
2025010404,11.0
2025010404,11.0
2025010404,11.0
2025010404,11.0
2025010405,21.0
